# Thai word frequencies extracted from Thai Wikipedia
# Source: https://huggingface.co/datasets/pythainlp/thai-wiki-dataset-v3
# License: CC BY-SA 4.0 — https://creativecommons.org/licenses/by-sa/4.0/
# Segmented with kham (https://github.com/preedep/kham)
# Articles processed: 500
# Format: word<TAB>count  (sorted by count descending)
# NOTE: Keep this file SEPARATE from tnc_freq.txt (which is CC0).
#       Do not merge — different licenses.
พิเศษ	182
ประธาน	182
สถาปัตยกรรม	181
อุปกรณ์	180
การเปลี่ยนแปลง	180
สุด	180
เฉพาะ	180
ละ	180
ทำงาน	180
อี	179
เพื่อให้	178
ขนาดใหญ่	178
ย่อย	178
ดิ	178
จัดตั้ง	178
คิ	178
ดาราศาสตร์	177
สัตว์	177
ตะ	177
นาน	176
บ้าน	176
นักเขียน	176
เข้าร่วม	176
การเรียนรู้	175
ปรีดี	175
โบรอน	175
โลหะ	173
ทั่วโลก	173
รัฐมนตรี	173
ต้นไม้	173
วรรณกรรม	173
มักจะ	172
อายุ	172
โม	171
รายได้	171
ตอนที่	171
มกราคม	170
ชา	170
พฤศจิกายน	170
เสียชีวิต	170
ท้องถิ่น	168
อ่าน	168
พันธุ์	168
รุ	168
เชื่อม	168
เด็ก	168
จุด	167
สถานะ	167
ออกเสียง	167
ศูนย์	166
เน้น	166
จำกัด	166
ที่สอง	166
เธอ	166
รายชื่อ	165
กระบวนการ	165
ทำให้เกิด	165
กราฟ	165
ตน	165
วง	164
ออกจาก	164
ดังนั้น	164
สิงหาคม	164
มิติ	163
การเขียน	163
ออกแบบ	163
ตาราง	163
กิโลเมตร	163
ตลาด	163
สำนักงาน	162
ศิลปะ	162
ตุรกี	162
ลู	162
เอา	161
สาขาวิชา	161
แต่งตั้ง	161
การแข่งขัน	161
รอบ	160
ขนาดเล็ก	160
สหประชาชาติ	160
สมาคม	160
แคว้น	160
ชั้น	159
ลด	159
ศาสตร์	158
นำไปสู่	158
ดังนี้	158
เช่นกัน	158
หน้า	158
กอ	158
สุดท้าย	158
สวิตเซอร์แลนด์	158
สาย	158
รู	158
สระ	158
โบราณ	157
มีบทบาท	157
เคมี	156
บันทึก	156
โท	156
เหมือน	156
วิศวกรรม	156
สอน	156
กะ	156
มีชื่อเสียง	155
คริสต์	155
องค์กร	155
อีกครั้ง	155
ยอมรับ	155
เขมร	155
เอกราช	155
อิเล็กตรอน	154
ใส่	154
วี	154
กู	154
สมัยใหม่	153
ต่อต้าน	153
ดำเนินการ	153
ลดลง	153
ไม้ประดับ	153
พยายาม	152
โดยทั่วไป	152
อะตอม	152
ทางการ	152
เนื้อหา	152
ผู้ใช้	152
มิถุนายน	152
มาตรฐาน	152
ใช่	151
นคร	151
บรม	151
ความรู้	150
สี่	150
ความนิยม	150
รายงาน	150
วัคซีน	150
เว็บไซต์	149
เยอรมัน	149
สกุล	149
สารสนเทศ	148
รางวัล	148
กิน	148
เลย	148
อน	148
จนกระทั่ง	147
ปริมาณ	147
แอ	147
ไม้	147
สาร	147
สิ่งแวดล้อม	146
ชน	146
อเมริกา	146
เกือบ	146
สัญลักษณ์	145
เมษายน	145
อำเภอ	145
อะไร	145
ยง	145
โล	144
ร่วมกัน	144
สภาพ	143
ต่ำ	143
รัสเซีย	143
กษัตริย์	143
ราชอาณาจักร	143
แม้ว่า	142
แก๊ส	142
เอส	142
ประวัติ	141
สั้น	141
ติด	141
ฟุตบอล	141
อีกด้วย	141
เรียน	141
ขยาย	141
เมืองหลวง	141
ดอลลาร์สหรัฐ	141
คุณ	140
สิทธิ	140
กรกฎาคม	140
พยัญชนะ	140
ตรง	139
นอ	139
นักเรียน	139
การลงทุน	139
สำเนียง	139
เริ่มต้น	138
ชายฝั่ง	138
เล่น	138
เทือกเขา	138
หัวหน้า	138
สภาผู้แทนราษฎร	138
ถือว่า	137
ความสามารถ	137
บางส่วน	137
สัญญาณ	137
พิจารณา	137
เครือข่าย	137
นิกาย	137
คณะกรรมการ	137
อธิบาย	136
วิทยาการ	136
ชื่อว่า	136
รัก	136
หลักสูตร	136
กรีซ	136
ปา	135
เสนอ	135
ธุรกิจ	135
ดนตรี	135
หุ่นยนต์	135
เพลงชาติ	135
เก็บ	134
เป็นเวลา	134
การท่องเที่ยว	134
ผสม	134
ท์	134
ส่งเสริม	134
ชอบ	134
